tp_percent,sl_percent,higher_tf_short_ma,higher_tf_long_ma,Equity Final [$],Sharpe Ratio,Calmar Ratio,Win Rate [%],Max Drawdown [%]
11.0,5.0,19,60,138288.18049999978,0.18615577999554225,0.11201229051345657,45.767195767195766,
13.0,9.0,14,60,165521.46285999945,0.23288313895561089,0.17572811725213583,48.214285714285715,
10.0,8.0,19,60,144196.92918000068,0.18860114478290854,0.15419106701452162,48.148148148148145,
14.0,5.0,14,50,156301.05237999966,0.2236151245547271,0.14946033328377537,46.5324384787472,
13.0,7.0,14,60,206850.39461999835,0.3318712311597534,0.2751073124020454,48.214285714285715,
10.0,8.0,24,50,99701.18708000064,0.0,0.0,50.116550116550115,
14.0,10.0,19,50,209341.82602000036,0.3106367119930156,0.2739919499277217,50.34013605442177,
12.0,8.0,24,40,89876.51492000045,0.0,0.0,49.53789279112754,
12.0,8.0,14,60,171233.43218000082,0.2553881049926301,0.199039890049061,48.46938775510204,
12.0,6.0,19,60,94349.02515999952,0.0,0.0,47.08994708994709,
10.0,5.0,19,60,136204.32599999988,0.18045035032339848,0.11086371111875443,46.2962962962963,
11.0,9.0,14,50,119877.1006400004,0.09034358798115998,0.06091319438101242,49.21700223713646,
11.0,6.0,24,50,108744.56057999947,0.046214446886358,0.027536939673791744,48.484848484848484,
13.0,9.0,19,60,136408.52259999965,0.1502139316527346,0.11018154249286892,47.61904761904761,
12.0,7.0,19,50,162373.30313999977,0.23259010861964602,0.18010449677219972,49.65986394557823,
14.0,10.0,24,60,176783.6180000006,0.2544748253212671,0.20330857150567017,49.142857142857146,
11.0,10.0,24,60,146526.24554000056,0.1853838481617062,0.14085725678713157,49.42857142857143,
12.0,7.0,24,60,148754.8449999998,0.20067677004280784,0.1472092202236641,48.857142857142854,
11.0,9.0,24,60,141176.79142000055,0.16891831169071803,0.11901094970278668,49.42857142857143,
11.0,8.0,24,40,74690.30228000027,0.0,0.0,49.53789279112754,
