tp_percent,sl_percent,Equity Final [$],Sharpe Ratio,Calmar Ratio,Win Rate [%],Max Drawdown [%]
4,3,89093.08556000433,0.0,0.0,46.46924829157175,
5,3,108055.09430000473,0.06581875037648607,0.03364698615544623,44.64692482915717,
5,4,135425.67352000522,0.22252563599062647,0.15020892040468775,49.202733485193626,
6,3,86113.41881000379,0.0,0.0,42.369020501138955,
6,4,80170.82458000368,0.0,0.0,47.15261958997722,
6,5,71615.54359000312,0.0,0.0,49.202733485193626,
7,3,125179.58107000476,0.159109931426514,0.10039743295512771,41.91343963553531,
7,4,123617.93830000516,0.13558834823542235,0.10024696552693717,46.924829157175395,
7,5,102653.72484000392,0.01698994579491132,0.010709809284344604,48.9749430523918,
7,6,116886.67791000464,0.09607826282888937,0.06677313319965177,50.79726651480638,
8,3,121737.75579000503,0.13755194630390088,0.07731112460253484,41.230068337129836,
8,4,115921.5581100049,0.09715335627411857,0.05997634190904599,46.01366742596811,
8,5,91497.82327000385,0.0,0.0,48.063781321184514,
8,6,112978.38283000434,0.07446573842078083,0.04673379205974023,49.88610478359909,
8,7,150229.01432000648,0.214952838596695,0.18075977830298307,51.252847380410024,
9,3,136406.6286900058,0.1989880857957446,0.13340969632697766,40.77448747152619,
9,4,143260.03442000615,0.20912986527412428,0.15230021565197938,45.78587699316628,
9,5,112062.74102000413,0.07103409154754288,0.04191265909167319,47.83599088838269,
9,6,140143.0668200054,0.18156180610164538,0.13289691911343585,49.65831435079727,
9,7,183421.40014000685,0.30363511679454913,0.265582136152289,51.025056947608206,
9,8,182437.33242000837,0.2924764006722322,0.28443253834234716,51.252847380410024,
10,3,131059.65717000606,0.16800111372195936,0.11075936127852219,40.091116173120724,
10,4,143795.92209000606,0.20177077026293536,0.1526412699305712,45.33029612756264,
10,5,116734.97809000466,0.08948902950149207,0.057661918997693566,47.380410022779046,
10,6,140498.79833000546,0.18103372787515765,0.13056089079657163,49.430523917995444,
10,7,212748.5454900074,0.3552503200778327,0.3314470430955504,50.79726651480638,
10,8,214023.003520009,0.3606208723121122,0.34787996440061775,51.025056947608206,
10,9,198128.7166500083,0.3167557428002321,0.2910935077139929,51.252847380410024,
11,3,122946.22387000473,0.12718287979902845,0.07684915342152537,39.63553530751708,
11,4,128461.9301100053,0.13553522959838757,0.09588131246266697,44.874715261959,
11,5,110509.00668000417,0.0563598401520097,0.03516850265183942,46.924829157175395,
11,6,124994.3867400046,0.12127840226254827,0.07869050584923142,48.9749430523918,
11,7,193563.674460007,0.30964348120981416,0.26153500688379616,50.56947608200456,
11,8,183984.42087000777,0.28625668679223537,0.24505224981809998,50.79726651480638,
11,9,174256.43688000733,0.26297291068040357,0.20694641104951028,51.025056947608206,
11,10,185430.7080600072,0.285902026061745,0.24444411791536538,51.252847380410024,
12,3,116402.01311000489,0.09381378114744733,0.05478461613178053,39.63553530751708,
12,4,140568.61679000594,0.18129695920461172,0.13104685928434817,44.874715261959,
12,5,112919.12434000419,0.0688601812671956,0.041365320505672674,46.924829157175395,
12,6,125635.61525000472,0.12253792954711275,0.07875402776876567,48.9749430523918,
12,7,228549.94203000792,0.3698569637488892,0.32459317550457567,50.56947608200456,
12,8,212094.19792000914,0.3301192823992413,0.3068096029893772,50.79726651480638,
12,9,194932.23550000862,0.2927529548374954,0.24913896058362003,51.025056947608206,
12,10,194851.11022000812,0.29020812118209827,0.2550200751627094,51.252847380410024,
12,11,204637.75213000804,0.29895404405036474,0.27053133965149684,51.252847380410024,
13,3,137568.5727300049,0.18507170170542134,0.12061361600359456,39.63553530751708,
13,4,164169.1369100056,0.259597462477085,0.1888610642270589,44.874715261959,
13,5,131126.7944100039,0.14300610564887542,0.09232804692789512,46.924829157175395,
13,6,173779.61463000477,0.27286901622521365,0.1988437825943982,48.9749430523918,
13,7,260589.87889000739,0.41337644171604837,0.3835761824208749,50.56947608200456,
13,8,256538.10197000898,0.4075342576018124,0.3939039482867547,50.79726651480638,
13,9,242204.6117100082,0.3774604187497758,0.34345451722389786,51.025056947608206,
13,10,234397.98494000811,0.35782143527348026,0.3272168854381481,51.252847380410024,
13,11,290048.58513000875,0.4303334909466573,0.4347295177504257,51.252847380410024,
13,12,194201.22706000705,0.27345275600827085,0.23007586295958407,51.252847380410024,
14,3,175959.99600000662,0.31241439465165805,0.22613498921049083,39.63553530751708,
14,4,209286.2780100079,0.35855627365084636,0.30213330018538204,44.874715261959,
14,5,160885.5110900059,0.23407658803121795,0.16900219143325484,46.924829157175395,
14,6,224872.8423000069,0.3755189914467115,0.3189660953565126,48.9749430523918,
14,7,314533.1485400101,0.4712458000577303,0.4969131277913693,50.56947608200456,
14,8,306813.4738100122,0.4523085130419094,0.5011892846714088,50.79726651480638,
14,9,289878.1341900113,0.42732786043825,0.42417845370633495,51.025056947608206,
14,10,295047.2233300103,0.4323139322194817,0.44562564221862355,51.252847380410024,
14,11,315511.79916001065,0.4490500132454811,0.4656148000339284,51.252847380410024,
14,12,296589.16234001005,0.42530728448626426,0.42272309215812887,51.252847380410024,
14,13,249188.45394000885,0.36033381341161264,0.3191417857180519,51.252847380410024,
